sentence	sentence_id	locale	reason
Туризм илӗтӳлӗхнӗ республикӑри инвестици климатне лайӑхлатассипе тимлекен канаш ларӑвӗнче сӳтсе явнӑ.	de1c1351bd6c7b2b84edd25ba11153cb885da6e06623c0c1ac61f34d0524cbb4	cv	grammar-or-spelling
Тӑхӑнман, анчах тирпейлӗ те ҫӗнӗ япала кашнинех пур.	9b7828f0aa90e9c7582a98c5b7a7d6dc1bd9a128c664817fac8558c6480e8e1d	cv	grammar-or-spelling
Туризм илӗтӳлӗхнӗ республикӑри инвестици климатне лайӑхлатассипе тимлекен канаш ларӑвӗнче сӳтсе явнӑ.	de1c1351bd6c7b2b84edd25ba11153cb885da6e06623c0c1ac61f34d0524cbb4	cv	grammar-or-spelling
Кӗнекене ҫавӑн пекех тутарла, эстонла тата хрантсусла куҫарнӑ.	6f97c6c58644ccea80be02e79f6f33b1672c24a6ea08b202f9bc6d65bb062b0f	cv	grammar-or-spelling
30 миллимон тенке 0,1% ставкӑпа 3 ҫуллӑха пама палӑртнӑ.	7bcbeb2c9efbb40b9e23ff210d1a75f0eb3f54470130d87a128b9de2ddedaa56	cv	grammar-or-spelling
Иртен-ҫӳрен ӑна видо ӳкерсе халӑх тетелӗсене вырнаҫтарнӑ.	d72eb0060914adbdb3d083e782987b8d8b498451428960f52316bda5799b4305	cv	grammar-or-spelling
Туризм илӗтӳлӗхнӗ республикӑри инвестици климатне лайӑхлатассипе тимлекен канаш ларӑвӗнче сӳтсе явнӑ.	de1c1351bd6c7b2b84edd25ba11153cb885da6e06623c0c1ac61f34d0524cbb4	cv	grammar-or-spelling
Туризм илӗтӳлӗхнӗ республикӑри инвестици климатне лайӑхлатассипе тимлекен канаш ларӑвӗнче сӳтсе явнӑ.	de1c1351bd6c7b2b84edd25ba11153cb885da6e06623c0c1ac61f34d0524cbb4	cv	grammar-or-spelling
Ҫӑм касмашӑкн Николаевсене тӑванӗсем пулӑшаҫҫӗ.	dd880bfa538f665d1c45b6991932cfc413c40aba51dce06d6b464f1ecbb2d441	cv	grammar-or-spelling
Водитель руль мсне ӳсӗрле ларнӑ.	a08b28ea5d43abf992cfaaccb950d36e4d3acc3e48df046ae7ae60db2b292711	cv	grammar-or-spelling
Ҫӑм касмашӑкн Николаевсене тӑванӗсем пулӑшаҫҫӗ.	dd880bfa538f665d1c45b6991932cfc413c40aba51dce06d6b464f1ecbb2d441	cv	grammar-or-spelling
Ҫӗмӗрлесем хула тӑрӑх пӗр каяччӑ хӑйне евӗр транспортпа ҫӳренине асӑрханӑ.	da8899b9ad5ef4ec12737aaaa680422dd3d92f20acf9ee3a37d13aa037ef0503	cv	grammar-or-spelling
Фанфурик сутса чарнӑ хыҫҫӑн спиртлӑ шӗвексем чӑнах та сахалрах сутӑннӑ.	83ab33ca0888ea11f5dad35dba627b26cd1636ce47aad9000a0efb7e048ea7cc	cv	grammar-or-spelling
Водитель руль мсне ӳсӗрле ларнӑ.	a08b28ea5d43abf992cfaaccb950d36e4d3acc3e48df046ae7ae60db2b292711	cv	grammar-or-spelling
Полици ӑна шарама пуҫланӑ ӗнтӗ.	d53be97eb6664196b3a8d7391996c1d389d444c229d81b5fa8986ea5db25c242	cv	grammar-or-spelling
Чӳкӗн 8-17-мӗшӗсенче ытти ҫултинчен 3 градус ӑшӑрах пулӗ.	f6080e45f8b8187425b2ed599129e2d09d939cb3f8282a6691e1c250c3f9011a	cv	??????? ????????? ????....
Сухансене целлофон хутаҫа чикнӗ.	ca3a2de9810d242c933e2f6647edf371e1c797c0676dc0b70f817b058e0a08a7	cv	grammar-or-spelling
Ҫӗмӗрлесем хула тӑрӑх пӗр каяччӑ хӑйне евӗр транспортпа ҫӳренине асӑрханӑ.	da8899b9ad5ef4ec12737aaaa680422dd3d92f20acf9ee3a37d13aa037ef0503	cv	grammar-or-spelling
Туризм илӗтӳлӗхнӗ республикӑри инвестици климатне лайӑхлатассипе тимлекен канаш ларӑвӗнче сӳтсе явнӑ.	de1c1351bd6c7b2b84edd25ba11153cb885da6e06623c0c1ac61f34d0524cbb4	cv	grammar-or-spelling
Ӑна малашне котельнӑй мар, кашни хваттерте вырнаҫтарнӑ наз кӑмакисем ӑшӑтса тӑрӗҫ.	18008674f7fd2f99b3b1a5f5bf777981c77a7c1b61cac54a89b50c363a3afdc0	cv	grammar-or-spelling
Водитель руль мсне ӳсӗрле ларнӑ.	a08b28ea5d43abf992cfaaccb950d36e4d3acc3e48df046ae7ae60db2b292711	cv	grammar-or-spelling
Йогӑаа, медитаципе туслашни ӑс-тӑншӑн, чуншӑн усӑллӑ пулӗ.	8461072fe8eee0dec0ecf8dbc38e67f827d1f62288dd3fecc5144b34ebcf2283	cv	grammar-or-spelling
Полици ӑна шарама пуҫланӑ ӗнтӗ.	d53be97eb6664196b3a8d7391996c1d389d444c229d81b5fa8986ea5db25c242	cv	grammar-or-spelling
Туризм илӗтӳлӗхнӗ республикӑри инвестици климатне лайӑхлатассипе тимлекен канаш ларӑвӗнче сӳтсе явнӑ.	de1c1351bd6c7b2b84edd25ba11153cb885da6e06623c0c1ac61f34d0524cbb4	cv	grammar-or-spelling
Шӑпах Чӗмпӗрте хатӗрленӗ те букваре.	4b75b087e21d775ec8fda6dfb6243d6de6cfe68f6f77f02188d8305e4d74e1fd	cv	grammar-or-spelling
Пӑшӑрханӑва педиатра пӗлтереттӗм.	b8bc3a8cc23dbe7bd737b1a46648cf9917adf98b220170f45e829f73a3f52b28	cv	grammar-or-spelling
Чару хыҫҫӑн алкогольпе наркӑмӑшланса вилнӗ тӗслӗх те сахалланӑ.	13f1e927ee54a81f210457e361c73992fdf8590e5fb189fbd17533f60e0192a5	cv	grammar-or-spelling
Чару хыҫҫӑн алкогольпе наркӑмӑшланса вилнӗ тӗслӗх те сахалланӑ.	13f1e927ee54a81f210457e361c73992fdf8590e5fb189fbd17533f60e0192a5	cv	grammar-or-spelling
Чару хыҫҫӑн алкогольпе наркӑмӑшланса вилнӗ тӗслӗх те сахалланӑ.	13f1e927ee54a81f210457e361c73992fdf8590e5fb189fbd17533f60e0192a5	cv	grammar-or-spelling
Чару хыҫҫӑн алкогольпе наркӑмӑшланса вилнӗ тӗслӗх те сахалланӑ.	13f1e927ee54a81f210457e361c73992fdf8590e5fb189fbd17533f60e0192a5	cv	grammar-or-spelling
Чару хыҫҫӑн алкогольпе наркӑмӑшланса вилнӗ тӗслӗх те сахалланӑ.	13f1e927ee54a81f210457e361c73992fdf8590e5fb189fbd17533f60e0192a5	cv	grammar-or-spelling
Чару хыҫҫӑн алкогольпе наркӑмӑшланса вилнӗ тӗслӗх те сахалланӑ.	13f1e927ee54a81f210457e361c73992fdf8590e5fb189fbd17533f60e0192a5	cv	grammar-or-spelling
Вокалистссемпе инструменталистсен коцертмейстерӗ пулса вӑл вӗренекенсен темиҫе ӑрӑвне вӗрентсе кӑларнӑ.	bb367d3ced8c7a54c4eb3a0d25c5133cc2af6c12135dc0857f75c3a6515e5908	cv	grammar-or-spelling
Вокалистссемпе инструменталистсен коцертмейстерӗ пулса вӑл вӗренекенсен темиҫе ӑрӑвне вӗрентсе кӑларнӑ.	bb367d3ced8c7a54c4eb3a0d25c5133cc2af6c12135dc0857f75c3a6515e5908	cv	???????????????
Ахӑртнех вӗсем амӑшӗ парнелеймен юратӑва асламӑшӗнче тупнӑ.	729aa3e402e69a7ea7059ef738541580c017e1b645d87226331a7f5955128de8	cv	grammar-or-spelling
Ахӑртнех вӗсем амӑшӗ парнелеймен юратӑва асламӑшӗнче тупнӑ.	729aa3e402e69a7ea7059ef738541580c017e1b645d87226331a7f5955128de8	cv	????????????
Унта онкологи патлогийӗ ҫук ҫынсене тӳлевлӗ вырттарнӑ.	6d391fc9d5eb22ddb8e48cef33867a75c846875bcf56e759aa2b241d8165db24	cv	grammar-or-spelling
Унта 14 ҫултан пуҫласа 17-чченхи юнармеецсем тупӑшнӑ.	c44221f443317ab6fd52af86c921559bf0db712082e8f399b8c152baf84a9ffa	cv	?????
Ав юпа уйӑхӗн 28-мӗшӗнче те экологи мероприятийӗ иртӗ.	efba472cddc90a4e8cdc6ff0f9e8c792e74bf62af81ce37ad9ad45ea957d869c	cv	?????
Вӗсенчен 1 ҫамрӑкӗ унта пӗрремӗш хут каймасть.	eb8133e5ce2bbc2e06ab6d39db112ff0d6d7753fbaaaf2d9b1f6bae63c06352e	cv	?????
Унта 14 ҫултан пуҫласа 17-чченхи юнармеецсем тупӑшнӑ.	c44221f443317ab6fd52af86c921559bf0db712082e8f399b8c152baf84a9ffa	cv	?????
Вӗсенчен 1 ҫамрӑкӗ унта пӗрремӗш хут каймасть.	eb8133e5ce2bbc2e06ab6d39db112ff0d6d7753fbaaaf2d9b1f6bae63c06352e	cv	?????
Вырсарни кун «21-мӗш ӗмӗр тенорӗсем» концерт пулӗ.	89fdda70a57a3852b4294812da60ee8c39694d20f572a0f977b34f598506700c	cv	?????
Унта 14 ҫултан пуҫласа 17-чченхи юнармеецсем тупӑшнӑ.	c44221f443317ab6fd52af86c921559bf0db712082e8f399b8c152baf84a9ffa	cv	?????
Вӑхӑта хаваслӑ тата усӑллӑ ирттерме тӗллевлерӗр тӗк укҫа-тенке перекетлӗр.	c7dc98e7d3fa3fac86f46a01b1937aed26ce5b257fe37f098d2694458cffb85e	cv	difficult-pronounce
Шкулсенче латиницӑпа план тӑрӑх 2022 ҫултанпа вӗрентме тытӑнӗҫ.	81e833356b121c27560502a6e0ae50376a73ccfec37a23a8883f49052d8b0d38	cv	?????
Обществӑн кӗҫӗн ӳсӗмри пулӑшуҫӑсем ҫак ӗҫе хаваспах пурнӑҫлаҫҫӗ.	f8b4177fa41fa3fe2042dcfccc6f551ef1ac2b86f4472d35fbe1b812c42a544d	cv	difficult-pronounce
Ҫӗрпӳре 27 ҫулти хӗр ҫухалнӑ.	b8fb804117be0c8bb0cedb9fda4a1d0f4b9b16103281bb845d6986f703c1ac3b	cv	?????
Унта 14 ҫултан пуҫласа 17-чченхи юнармеецсем тупӑшнӑ.	c44221f443317ab6fd52af86c921559bf0db712082e8f399b8c152baf84a9ffa	cv	?????
Вырсарни кун «21-мӗш ӗмӗр тенорӗсем» концерт пулӗ.	89fdda70a57a3852b4294812da60ee8c39694d20f572a0f977b34f598506700c	cv	?????
Вӗсенчен 1 ҫамрӑкӗ унта пӗрремӗш хут каймасть.	eb8133e5ce2bbc2e06ab6d39db112ff0d6d7753fbaaaf2d9b1f6bae63c06352e	cv	?????
Шкулсенче латиницӑпа план тӑрӑх 2022 ҫултанпа вӗрентме тытӑнӗҫ.	81e833356b121c27560502a6e0ae50376a73ccfec37a23a8883f49052d8b0d38	cv	?????
Вокалистссемпе инструменталистсен коцертмейстерӗ пулса вӑл вӗренекенсен темиҫе ӑрӑвне вӗрентсе кӑларнӑ.	bb367d3ced8c7a54c4eb3a0d25c5133cc2af6c12135dc0857f75c3a6515e5908	cv	difficult-pronounce
29,5 пин ҫын вара ӗҫсӗр шутланать.	0a86edd92eb014adc037ccb216c2ccee0e81ae646221b1aad9cb49f2aca0e053	cv	?????
18 сехет ҫурӑра пуҫланакан заняти 2,5 сехете тӑсӑлӗ.	7ff5b197b4c55d43353621063d47d8e59ec1cc5724fd6b2b4d0a1d3d3f0cbafb	cv	?????
29,5 пин ҫын вара ӗҫсӗр шутланать.	0a86edd92eb014adc037ccb216c2ccee0e81ae646221b1aad9cb49f2aca0e053	cv	?????
Унта 14 ҫултан пуҫласа 17-чченхи юнармеецсем тупӑшнӑ.	c44221f443317ab6fd52af86c921559bf0db712082e8f399b8c152baf84a9ffa	cv	?????
Ҫӗрпӳре 27 ҫулти хӗр ҫухалнӑ.	b8fb804117be0c8bb0cedb9fda4a1d0f4b9b16103281bb845d6986f703c1ac3b	cv	?????
Ав юпа уйӑхӗн 28-мӗшӗнче те экологи мероприятийӗ иртӗ.	efba472cddc90a4e8cdc6ff0f9e8c792e74bf62af81ce37ad9ad45ea957d869c	cv	?????
29,5 пин ҫын вара ӗҫсӗр шутланать.	0a86edd92eb014adc037ccb216c2ccee0e81ae646221b1aad9cb49f2aca0e053	cv	?????
Вӗсенчен 1 ҫамрӑкӗ унта пӗрремӗш хут каймасть.	eb8133e5ce2bbc2e06ab6d39db112ff0d6d7753fbaaaf2d9b1f6bae63c06352e	cv	?????
Шкулсенче латиницӑпа план тӑрӑх 2022 ҫултанпа вӗрентме тытӑнӗҫ.	81e833356b121c27560502a6e0ae50376a73ccfec37a23a8883f49052d8b0d38	cv	?????
29,5 пин ҫын вара ӗҫсӗр шутланать.	0a86edd92eb014adc037ccb216c2ccee0e81ae646221b1aad9cb49f2aca0e053	cv	?????
Йĕкĕт пӳлĕме чĕрне вĕççĕн утса кĕчĕ, алăка шал енчен çаклатрĕ.	a4d1541ae8aad370279f65dbbebf071f41ebc4d69972829891b521053d5e937d	cv	difficult-pronounce
Электричествӑшӑн пӗтӗмпе 188,9 миллион тенкӗ тӳлемелле.	055feed184b2778f4e846afb02d3d6514d9f35a720f8cae8d11047db091208df	cv	?????
Юпа уйӑхӗн 22-мӗшӗнче ведомство сайтӗнче вӗсен сӑнӳкерчӗкне вырнаҫтарнӑ.	4517992d129be44eb54dda26424a3a57e2ee2b78f367ea163819741f8448883d	cv	?????
Хушӑва кӑҫалхи юпа уйӑхӗн 31-мӗшӗнче алӑ пуснӑ.	243082f852ea94c6d381eb1ca2f63cf3c5acd9122199f4d16cbbb8633a8fbd0b	cv	?????
Виҫи пӗчӗкех мар: 80 пин тенкӗ.	326cda911ee0378c1ee7b3b873481cd0ccde412ff8a4c7f06348b7e9e99ad66b	cv	?????
1992-мӗш ҫулта пысӑк вырӑн йышӑнса Кремльте хӑйӗнче те пулса курнӑ.	0b6aa529c63e53730a1d06f8f50eb9a2aa2d6e7bd53fcb9bfb5bc7b11febb5f4	cv	?????
Ҫавна май «Мадагаскар» суту-илӳ центрӗ енчи чарӑнӑва 50 метр куҫарма йышӑннӑ.	32fbb97489ad83188c21fe723ee2ff2fc1242ec22b99ca5b2f763b3a2fbc1822	cv	?????
Раҫҫейӗн пӗрлештернӗ командинче 40 спортсмен пулнӑ.	03d6059fce5a837e9a94e4509174e79c98ac14fc5eefc5f319a405673ce12dbd	cv	?????
Ҫыру айӗнче 25 тӗн ҫынни те ҫакӑнпа килӗшнине пӗлтерсе алӑ пуснӑ.	23f6d3e7d8883901bf93b4e688c61b5c8f06513b14ebf9f70b964ae89538c7a1	cv	?????
Ӑна чӳк уйӑхӗн 17-мӗшӗнче ирттерӗҫ.	55d7d0c1686515ac62d5777fa252be31fe0a6f7f3e79e7bac93c953ac1aa352b	cv	?????
Мотоборда вӑх хӑй ӑсталанӑ.	3e774632940be2a8ab713dcb8f3b00fc94601bf700cf8676ce3a07a43db79e11	cv	grammar-or-spelling
Аса илтерер: халӗ кунашкал йӗркене пӑснӑшӑн 1,5 пин тенкӗ тӳлемелле.	30a89c5f0659526d022917a3132586ed83e5f94171e8a788bc592ddbebc4224d	cv	?????
Роспотребнадзор юпа уйӑхӗн 22-мӗшӗнче фанфурик сутма чарасси пирки пӗлтернӗ.	5da6d8f214c66575e75aa6498e9b5bf725585f0939ad858140838fefd4beb8c8	cv	?????
Невропотолог патне кӗтӗм те мӑнукӑм пирки каласа патӑм.	40a47e4dffceebe7c1f15171f66ab9ab1e535b37938dfd17ac3db19d629911d5	cv	grammar-or-spelling
Ӑна 34 гектар ҫинче ҫитӗнтернӗ.	3f3b33eedf66030e52b412735222601bb60c259611302bfa98dbf5eae05645ac	cv	?????
Хӗвелҫаврӑнӑш та хиртех-ха: ӑна пухса илмелли — 7 пине яхӑн гектар.	5cc427d3e057829edde9fb7d7d80ea0ee0b8c6fea5c4cea2da8ae40d50593491	cv	?????
Комсомолецсем ҫак ҫырӑва Октябрь революцийӗ 100 ҫул тултарнӑ чухне уҫма хушнӑ.	218e387115c4ea806a38690bef6792663b64de97cbee71b00b3caa7f1f574542	cv	?????
112 тытӑм Шупашкарти Калинин урамӗнчи 112-мӗш ҫуртра вырнаҫнӑ.	6c2dcf783fd71c4624b4fb3ecf2ed9e5a7c02029a2aa55a5aa2afd01ca7bb5a8	cv	?????

Пресс-конференцие 137-мӗш пӳлӗмре пухаҫҫӗ.	565e189a9b5d50b820355ae7612dce9db100d06a3ba3556f1d578e9bcbb19b3e	cv	?????
Термометр каҫ енне 0 градусран сахалрах кӑтартӗ.	162d8862f53b502f3b1d6f97308bdfa5a29614b59de3616f74208474e18c487a	cv	?????
Чӑваш Енре 1940 ҫулта ҫуралнӑ ҫынна шыраҫҫӗ.	43b2acdcae55cee0e58263d8a499eac2408f4261413c7de21c0dc46816c9f024	cv	?????
43 ҫулти хӗрарӑм та эрех ӗҫес тесе йӑнӑшпа уксус кӗленчине тытнӑ.	3fda66029ee41e2862848b933b5587b453f468a09fb875613dc8f635c02f1709	cv	?????
Ҫӗнӗ Шупашкарти 17-мӗш ача пахчинче ҫамрӑк экологсен чӑн-чӑн лабораторийӗ уҫӑлнӑ.	4a44d7f569bf0cee4aa30b3c83c00d1bc12e431f39a121f9971e5e6e5b7de7b7	cv	?????

Вӑл 14 сехетре пуҫланӗ.	7822273e6c7a3fbfe3bb203a8e87c08abb776b5e96557513798f6881c08a8996	cv	?????
Театрсене пулӑшас тӗллевпе хыснаран пӗтӗмпе 220 миллион тенкӗ уйӑрӗҫ.	97e82f4b18944ca279337e93bad312d7c996890f75db67b7ed5dce886ad5a780	cv	?????
Ял тӑрӑхӗсенче ӗҫлесе пурӑнакан 562 ҫамрӑк ҫемьене 403 млн тенкӗлӗх пулӑшнӑ.	6ceaee563519580937cb16080190d415852af6107dc37c130ef75bdf7fbcf8f7	cv	?????
Юпа уйӑхӗн 21-мӗшӗнче Шупашкарти «Малютка» ҫуртра каллех уҫӑ алӑксен кунӗ иртӗ.	bd1ba3416dc930447e9c4249820ce0066693f321a855840b21923fbbf06762e5	cv	?????
Паятан Раҫҫейре 200 тата 2000 тенкӗлӗх укҫа ҫаврӑнӑша тухӗ.	541c7da9ae85cc566c0a5a34ddf13ad2943ba58da52da854253acd47e77c17e7	cv	?????

Кунашкалли юлашки хутчен 2011 ҫулта пулнӑ.	7242c64ff3ca4c3af0146a0c62cd7711328cdcc85dd11ed2e626c7273b449eea	cv	?????
Вӑтамран 1 градус сивӗ пулнӑ.	5e0939456d8e51191be314f8cfde44142a3255b5846c25da857d1abedc23df3f	cv	?????
Ӑна 12 ҫултан аслӑрах ҫынсене курма сӗнеҫҫӗ.	4837916af4710eed3e6a9955a5cea37b973a01a3740fc6865d7829c8dccad63e	cv	?????
Суд тухтӑрсенчен кашнин ирӗкне 1 ҫул та 10 уйӑхлӑха чикӗлеме йышӑннӑ.	8384d5a34b1eac9dd609941d8b84962bd2033e9f85469be436e0bef20fdd4268	cv	?????
Тупрана 38 ҫулти икӗ медсестра вӑрланӑ иккен.	152422c8db7ff5b875993a320700990fc7c803a6269b14a2b78d42f105a1bd27	cv	?????
Пӗтӗмпе 6 пин те 500 тенкӗ ҫӗтнӗ унӑн.	5395418e4005e72867d6d63d6e2c3c72be6716dcf82dae2f41cd38c82e60517d	cv	?????
Ҫитес ҫул 36 ҫула ҫӗнтеме палӑртнӑ.	d44071ba3bb91be7665ef4e1bd52c0ff9799bb252637f2880799a78ac4db58a9	cv	?????
Кӑҫал Чӗмпӗр облаҫӗнчи чӑвашсен наципе культура автономине йӗркеленӗренпе 20 ҫул ҫитрӗ.	811e7f08030a9f4c368fb5a7cb53fb5f24c6d6a272ddbecc9c589c83b7a865d7	cv	?????
Хыснаран кӑҫал 167 пин тенкӗ уйӑрнӑ.	6555a7edbcca43ef61622fb1c9795eb757cf122f0dc49df7e31bbdb1ba535bcc	cv	?????
Шупашкарти 4-мӗш гимнази валли директор шыраҫҫӗ.	200a76f4e979aaec4b19ef0c76200f986b20a82dff36a18305f5cf7b659e6526	cv	?????
Тӗрӗссипе, павильонсен чӳк уйӑхӗн 1-мӗшӗччен ӗҫлесе каймалла пулнӑ.	564bbb4f901d473a8b64b3c751acbdd85d5e071e60a791472b9d576f0b1f9a34	cv	?????
Администраци куншӑн 1,9 миллион тенкӗ тӳлеме хатӗр.	46bbd5426e5dfc483f9cebdbdda63978948bf376db90653ff1b6aa4168188541	cv	?????
Воспитатель кӑҫалхи ҫӗртме уйӑхӗн 20-мӗшӗ—утӑ уйӑхӗн 13-мӗшӗсенче отпускра пулнӑ.	1bea05ce4a7d4936a9b6bb9e16f51cbfe386ce4db4ca5b158a895021a11a37fd	cv	?????

48 ҫулти арҫын Чӑваш Енрен пулни паллӑ.	5302c03332be935f9679f34f1534aced7994d23351dca098ec3944faad6f5556	cv	?????
Унта Нума 1 циклон иртет.	0955875a952e0887decf3e6b502f45ed397957afb6311204a680d8844c9027d3	cv	?????
Унта 14 регион хушӑннӑ.	06e0c1361f2e89927c096a069c3b479379d840c1cef3fd2cf617abce1eb696f5	cv	?????
Финала вӗсенчен 197-шӗ тухнӑ.	86639c96cca6cf285f32b279ec2f5e59537f979450132e9f9fa5ea2d6c17cb16	cv	?????
Ҫавна май ҫав ҫуртран 40 ҫынна пӗр тӑхтамасӑр эвакуациленӗ.	7981d7630477998baa7145294a4025115cffefb4d73fa8884039ccfe0ebee116	cv	?????
Вӗсем пӗр-пӗрне 50 ҫула яхӑн паллаҫҫӗ.	9fa832951f8bc500eb88d31bd27d00202aa0fd624c90c2e24c9d0eead9021113	cv	?????
Чӳк уйӑхӗн 5-мӗшӗнче кукамӑшӗ мӑнукӗсене хулана илсе кайнӑ.	7f5b8ba957f85b59123e6b7b4737b05c392700f06ef9ab1f50ba2a521514b3e8	cv	?????
Ҫул ҫинче ҫакнашкал хӑмасем вырнаҫтарасси пирки ЧР Элтеперӗ пӗр канашлура каланӑ.	5488204f097df6cc67d4c0ed7b85207b7dccfae9c867f3f62a17c9440b44f2fd	cv	?????????????
Унта 100 пуҫ вырнаҫать.	39a8a68f0825deb33ea4c7cbac13240b1e9eaa8e689b2fb303387c60cf989c20	cv	?????
Акци 17 сехетрен пуҫласа 20 сехетчен ӗҫлӗ.	5fb9ec262fd8d0ff1e0497dda10ee4fbca2aa70a5a19591c29b79e7757c927f1	cv	?????
Ӗҫе пурнӑҫлама хыснаран 18 миллион та 900 пин тенкӗ уйӑрнӑ.	85a87c31a1373cf65c9622d2c8bf672525e34e892f769eead977747fe37289df	cv	?????
Вырсарникун кӑштах ашӑрах пулӗ, нимӗн те ҫумӗ.	5c4dde9eff9d1fb087e89fc13525073599f9e5a75e10f59fe29f9a89ec1cf092	cv	grammar-or-spelling
Мотоборда вӑх хӑй ӑсталанӑ.	3e774632940be2a8ab713dcb8f3b00fc94601bf700cf8676ce3a07a43db79e11	cv	grammar-or-spelling
2015—2017-мӗш ҫулсенче ӳснӗ.	9be3860bb927a39f3cd24ab29d55d38df7cf914dc1bc11ece07665937d38b631	cv	?????
 
Эпĕ сăнпа паян ĕç çинчен калаçма шутламастăп та.	aa4686d37022797b4a4ef37e07a6bfeb78df0823343f648e86c43493aae9e903	cv	grammar-or-spelling
Ҫав кун Сергей Тихонов мунче кӗме кайнӑ.	991fec32fb989fd6a913a307b2d8554371a9de992d9a7db022dc7cb555e78d3f	cv	grammar-or-spelling
Паҫхча ҫимӗҫ, улма-ҫырлана тытса тӑмаҫҫӗ.	c84e117f24b6a5d7b5005d7d0988554199b350f495bff11eab7528622beafeff	cv	grammar-or-spelling
Водитель руль мсне ӳсӗрле ларнӑ.	a08b28ea5d43abf992cfaaccb950d36e4d3acc3e48df046ae7ae60db2b292711	cv	grammar-or-spelling
Унсӑрӑн нимле ӗҫ те пулмаҫ пирӗн.	9ad8e004337bdf8e82a798dd1900efdf14f9799ff905b537e83e436b97b97d12	cv	grammar-or-spelling
Конференцие 250 делегат суйланӑ, 228 делегат хутшӑннӑ.	06b8e0b74a7e1be52b40074336e8c90397dc3c556c7e59d4d4dc8e68342dde8c	cv	grammar-or-spelling
Паяй лупас айĕнче çерçипе кăсăя виллисем тупрăм.	114754dfdb022e6faa0f5878b31c534e9f559c00dee81ae9437de111f59c5051	cv	grammar-or-spelling
Тăхта-ха, юлташ, Балашиха çинчен каламастăн-и эс?	12f073a29eab3ef2fb7e6cdb185bf37214f644c7ec1410a7fb23991364ead179	cv	grammar-or-spelling
Ҫаванпа эпир те ҫӗнӗ сӑмахсемпе усӑ курма тӑрашатпӑр.	a9971844d4cc835bb8be740a5fe159851d6fee3b9daa5743353dc04fc3f65373	cv	grammar-or-spelling
саккӑр	8162010209ab9b002db4102d550e1df62e2907c2692c68ba109f65a4f8aea6c4	cv	offensive-language
